Shōtoku Taishi-tō subClassOf stele, Shōtoku Taishi-tō subClassOf abstract object, stele disjointWith abstract object
Kuyō-tō subClassOf stele, Kuyō-tō subClassOf abstract object, stele disjointWith abstract object
Mimachi-tō subClassOf stele, Mimachi-tō subClassOf concrete object, stele disjointWith concrete object
Kasshi-tō subClassOf stele, Kasshi-tō subClassOf abstract object, stele disjointWith abstract object
counterfeit silver coin subClassOf counterfeit coin, counterfeit silver coin subClassOf concrete object, counterfeit coin disjointWith concrete object
case binding subClassOf hardcover, case binding subClassOf concrete object, hardcover disjointWith concrete object
wakokubon subClassOf wasōbon, wakokubon subClassOf abstract object, wasōbon disjointWith abstract object
jestbook subClassOf humorous literature, jestbook subClassOf abstract object, humorous literature disjointWith abstract object
blow book subClassOf printed book, blow book subClassOf concrete object, printed book disjointWith concrete object
Monopoly €500 bill subClassOf Monopoly money, Monopoly €500 bill subClassOf abstract object, Monopoly money disjointWith abstract object
Monopoly €100 bill subClassOf Monopoly money, Monopoly €100 bill subClassOf concrete object, Monopoly money disjointWith concrete object
Monopoly €50 bill subClassOf Monopoly money, Monopoly €50 bill subClassOf concrete object, Monopoly money disjointWith concrete object
Monopoly €20 bill subClassOf Monopoly money, Monopoly €20 bill subClassOf abstract object, Monopoly money disjointWith abstract object
Monopoly €10 bill subClassOf Monopoly money, Monopoly €10 bill subClassOf abstract object, Monopoly money disjointWith abstract object
Monopoly €5 bill subClassOf Monopoly money, Monopoly €5 bill subClassOf abstract object, Monopoly money disjointWith abstract object
Monopoly €1 bill subClassOf Monopoly money, Monopoly €1 bill subClassOf concrete object, Monopoly money disjointWith concrete object
duplicating master subClassOf Master recordings, duplicating master subClassOf abstract object, Master recordings disjointWith abstract object
saddle stitch binding subClassOf paperback, saddle stitch binding subClassOf concrete object, paperback disjointWith concrete object
board book binding subClassOf hardcover, board book binding subClassOf concrete object, hardcover disjointWith concrete object
stone rubbing subClassOf rubbing, stone rubbing subClassOf concrete object, rubbing disjointWith concrete object
roundabout dog subClassOf roundabout art, roundabout dog subClassOf concrete object, roundabout art disjointWith concrete object
daibutsu subClassOf Buddharupa, daibutsu subClassOf concrete object, Buddharupa disjointWith concrete object
reconstructed structure subClassOf architectural structure, reconstructed structure subClassOf abstract object, architectural structure disjointWith abstract object
Sacred Heart cave subClassOf structure of worship, Sacred Heart cave subClassOf abstract object, structure of worship disjointWith abstract object
copy of the Qur’an subClassOf individual copy of a book, copy of the Qur’an subClassOf abstract object, individual copy of a book disjointWith abstract object
Fushimi-ban subClassOf kokatsuji-bon, Fushimi-ban subClassOf concrete object, kokatsuji-bon disjointWith concrete object
Saga-bon subClassOf kokatsuji-bon, Saga-bon subClassOf abstract object, kokatsuji-bon disjointWith abstract object
itabi subClassOf Kuyō-tō, itabi subClassOf concrete object, Kuyō-tō disjointWith concrete object
bitasen subClassOf shichūsen, bitasen subClassOf concrete object, shichūsen disjointWith concrete object
manga magazine subClassOf manga, manga magazine subClassOf abstract object, manga disjointWith abstract object
American comic book subClassOf comics of the United States, American comic book subClassOf abstract object, comics of the United States disjointWith abstract object
Bamse subClassOf comic book, Bamse subClassOf concrete object, comic book disjointWith concrete object
microcopy subClassOf artwork copy, microcopy subClassOf concrete object, artwork copy disjointWith concrete object
Lourdes grotto subClassOf structure of worship, Lourdes grotto subClassOf abstract object, structure of worship disjointWith abstract object
Gilt-bronze Maitreya in Meditation subClassOf Buddharupa, Gilt-bronze Maitreya in Meditation subClassOf concrete object, Buddharupa disjointWith concrete object
fleuron subClassOf plant-derived motif, fleuron subClassOf abstract object, plant-derived motif disjointWith abstract object
prop gun subClassOf firearm, prop gun subClassOf abstract object, firearm disjointWith abstract object
Buddha sculpture in Thailand subClassOf Buddharupa, Buddha sculpture in Thailand subClassOf concrete object, Buddharupa disjointWith concrete object
Reclining Buddha subClassOf Buddharupa, Reclining Buddha subClassOf abstract object, Buddharupa disjointWith abstract object
desco da parto subClassOf work of art, desco da parto subClassOf abstract object, work of art disjointWith abstract object
waterleaf subClassOf plant-derived motif, waterleaf subClassOf abstract object, plant-derived motif disjointWith abstract object
