honorary citizen of Gera subClassOf award winner, honorary citizen of Gera subClassOf award, award winner disjointWith award
Ishibashi Kuyō-tō subClassOf abstract object, Ishibashi Kuyō-tō subClassOf concrete object, abstract object disjointWith concrete object
Batō-kannon-tō subClassOf abstract object, Batō-kannon-tō subClassOf concrete object, abstract object disjointWith concrete object
Shōtoku Taishi-tō subClassOf abstract object, Shōtoku Taishi-tō subClassOf concrete object, abstract object disjointWith concrete object
Kuyō-tō subClassOf abstract object, Kuyō-tō subClassOf concrete object, abstract object disjointWith concrete object
Mimachi-tō subClassOf abstract object, Mimachi-tō subClassOf concrete object, abstract object disjointWith concrete object
Kasshi-tō subClassOf abstract object, Kasshi-tō subClassOf concrete object, abstract object disjointWith concrete object
counterfeit silver coin subClassOf abstract object, counterfeit silver coin subClassOf concrete object, abstract object disjointWith concrete object
case binding subClassOf abstract object, case binding subClassOf concrete object, abstract object disjointWith concrete object
wakokubon subClassOf abstract object, wakokubon subClassOf concrete object, abstract object disjointWith concrete object
jestbook subClassOf abstract object, jestbook subClassOf concrete object, abstract object disjointWith concrete object
blow book subClassOf abstract object, blow book subClassOf concrete object, abstract object disjointWith concrete object
Monopoly €500 bill subClassOf abstract object, Monopoly €500 bill subClassOf concrete object, abstract object disjointWith concrete object
Monopoly €100 bill subClassOf abstract object, Monopoly €100 bill subClassOf concrete object, abstract object disjointWith concrete object
Monopoly €50 bill subClassOf abstract object, Monopoly €50 bill subClassOf concrete object, abstract object disjointWith concrete object
Monopoly €20 bill subClassOf abstract object, Monopoly €20 bill subClassOf concrete object, abstract object disjointWith concrete object
Monopoly €10 bill subClassOf abstract object, Monopoly €10 bill subClassOf concrete object, abstract object disjointWith concrete object
Monopoly €5 bill subClassOf abstract object, Monopoly €5 bill subClassOf concrete object, abstract object disjointWith concrete object
Monopoly €1 bill subClassOf abstract object, Monopoly €1 bill subClassOf concrete object, abstract object disjointWith concrete object
